county,fips,name,area_sqmi,land_area_acres,population,housing_units,households,svi,socioeconomic_svi,household_svi,racial_svi,housing_transport_svi,median_household_income,pc_poverty,pc_age_17_and_below,pc_latino,pc_limited_english,pc_born_central_america,median_household_income_relative,pc_age_17_and_below_relative,pc_poverty_relative,pc_latino_relative,pc_limited_english_relative,pc_born_central_america_relative,pounds_13d_2018_2022,pounds_chloropicrin_2018_2022,pounds_13d_per_100_acres_2018_2022,pounds_chloropicrin_per_100_acres_2018_2022,pounds_13d_per_1000_people_2018_2022,pounds_chloropicrin_per_1000_people_2018_2022
Siskiyou County,06093001100,Census Tract 11; Siskiyou County; California,90.259369174478,57765.930815845,2149,1422,969,0.6611,0.6914,0.5887,0.1229,0.7558,41440,16.1,19.4,16.9,0.4,3,0.4509003862684294,1.603305785123967,0.7219730941704037,0.42569269521410574,0.0449438202247191,0.24793388429752067,,,,,,
Siskiyou County,06093001200,Census Tract 12; Siskiyou County; California,1232.051550726156,788512.09898469,1250,1108,574,0.5361,0.7111,0.3658,0.023,0.5451,45250,13.3,11.8,6.8,0,0.6,0.492356237419074,0.975206611570248,0.5964125560538117,0.17128463476070527,0,0.049586776859504134,,,,,,
Siskiyou County,06093001300,Census Tract 13; Siskiyou County; California,1438.102537498306,920384.581091315,2441,1492,1048,0.6963,0.7012,0.6776,0.2554,0.7429,42625,23.4,18.1,13.1,0.4,1,0.4637941352483543,1.4958677685950414,1.0493273542600896,0.3299748110831234,0.0449438202247191,0.08264462809917356,,,,,,
Solano County,06095250103,Census Tract 2501.03; Solano County; California,0.779521019002,498.89288685500003,4232,1558,1407,0.4563,0.2644,0.6733,0.6563,0.4923,105903,6.6,18.3,23.4,2.3,7.5,1.1523094499755182,1.512396694214876,0.2959641255605381,0.5894206549118387,0.2584269662921348,0.6198347107438017,,,,,,
Solano County,06095250104,Census Tract 2501.04; Solano County; California,0.506000570672,323.83999828000003,2225,848,785,0.7252,0.7285,0.4494,0.637,0.7962,88125,12.8,11.9,17.3,1.2,6,0.9588705728741636,0.9834710743801653,0.5739910313901345,0.4357682619647355,0.1348314606741573,0.49586776859504134,,,,,,
Solano County,06095250105,Census Tract 2501.05; Solano County; California,1.330384711564,851.44525061,7595,2545,2518,0.4248,0.4181,0.7537,0.7171,0.1437,109918,9.6,22.2,12.5,6.8,4.4,1.1959958652956857,1.8347107438016528,0.43049327354260086,0.3148614609571788,0.7640449438202247,0.3636363636363637,,,,,,
Solano County,06095250106,Census Tract 2501.06; Solano County; California,7.144183916618,4572.272525695001,3668,1139,1092,0.1176,0.1386,0.3553,0.6312,0.0473,168750,2.5,14.9,12.1,2.7,2.2,1.8361351395462706,1.231404958677686,0.11210762331838564,0.3047858942065491,0.30337078651685395,0.18181818181818185,,,,,,
Solano County,06095250200,Census Tract 2502; Solano County; California,0.521359708232,333.66983518,4560,1525,1525,0.6678,0.4664,0.7099,0.6432,0.8199,76875,8.3,26.1,31.2,3.3,6.2,0.8364615635710788,2.15702479338843,0.3721973094170404,0.7858942065491183,0.37078651685393255,0.5123966942148761,,,,,,
Solano County,06095250300,Census Tract 2503; Solano County; California,0.423855825764,271.26742111,3526,1307,1226,0.6354,0.5665,0.9191,0.5516,0.3938,70278,3.8,18.1,30.4,10.5,14.1,0.76468092051575,1.4958677685950414,0.17040358744394618,0.7657430730478588,1.1797752808988764,1.1652892561983472,,,,,,
Solano County,06095250400,Census Tract 2504; Solano County; California,0.423629956094,271.122864685,3511,1305,1284,0.4728,0.6072,0.5527,0.39,0.2305,82711,9.2,21.7,29,1.8,8.3,0.8999619171971057,1.7933884297520661,0.41255605381165916,0.7304785894206549,0.20224719101123595,0.6859504132231405,,,,,,
