cds_code,status,charter,ed_type,level,pb_prv_bie,school,district,county,street,city,state,stacked,stack_cnt,grades_offered,grades_served,co_mtrs,water_year,pounds_chloropicrin.x,intersection_acres,crops_acres,pounds_chloropicrin.y,intersection_fraction,pounds_chloropicrin_intersection
56725610113977,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Rio Vista Middle,Rio Elementary,Ventura,3050 Thames River Drive,Oxnard,CA,No,1,6-8,6-8,56S02N22W23,2018,54145.74,63.56047703141582,298.42720054827515,54145.74,0.21298486503455955,11532.22312609635
56725610113977,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Rio Vista Middle,Rio Elementary,Ventura,3050 Thames River Drive,Oxnard,CA,No,1,6-8,6-8,56S02N22W10,2018,20586,4.766844381419839,117.38630785452042,20586,0.040608180532669104,835.9600044455261
56725610113977,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Rio Vista Middle,Rio Elementary,Ventura,3050 Thames River Drive,Oxnard,CA,No,1,6-8,6-8,56S02N22W14,2018,60088.6065977,157.33013760491806,383.1681811386052,60088.6065977,0.41060334690997297,24672.582980172305
56725616055495,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Rio del Valle Middle,Rio Elementary,Ventura,3100 Rose Avenue,Oxnard,CA,No,1,6-8,6-8,56S02N22W23,2018,54145.74,298.42720054827583,298.42720054827515,54145.74,1.0000000000000022,54145.74000000012
56725616055495,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Rio del Valle Middle,Rio Elementary,Ventura,3100 Rose Avenue,Oxnard,CA,No,1,6-8,6-8,56S02N22W25,2018,45073.96,12.537087008644992,412.7900241153653,45073.96,0.030371584283105553,1368.9675751133284
56725616055495,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Rio del Valle Middle,Rio Elementary,Ventura,3100 Rose Avenue,Oxnard,CA,No,1,6-8,6-8,56S02N22W24,2018,16250.72,228.78720272867986,490.3839974577771,16250.72,0.46654704051263174,7581.725322199434
56725616055495,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Rio del Valle Middle,Rio Elementary,Ventura,3100 Rose Avenue,Oxnard,CA,No,1,6-8,6-8,56S02N22W14,2018,60088.6065977,166.80631587752646,383.1681811386052,60088.6065977,0.43533446692220734,26158.641521307964
56725616055495,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Rio del Valle Middle,Rio Elementary,Ventura,3100 Rose Avenue,Oxnard,CA,No,1,6-8,6-8,56S02N22W13,2018,14985.95,30.21165500681422,581.5399871316041,14985.95,0.051951122322354146,778.5369215666832
56725616055503,Active,No,Traditional,Elementary,Public,Rio Lindo Elementary,Rio Elementary,Ventura,2131 Snow Avenue,Oxnard,CA,No,1,K-5,K-5,56S02N22W35,2018,27977.4,22.422302015467306,75.41870242297028,27977.4,0.2973042666488272,8317.800389740898
56725616055503,Active,No,Traditional,Elementary,Public,Rio Lindo Elementary,Rio Elementary,Ventura,2131 Snow Avenue,Oxnard,CA,No,1,K-5,K-5,56S02N22W23,2018,54145.74,32.243418635507,298.42720054827515,54145.74,0.10804450323653099,5850.149580674365
56725616055511,Active,No,Traditional,Elementary,Public,Rio Plaza Elementary,Rio Elementary,Ventura,600 Simon Way,Oxnard,CA,No,1,K-5,K-5,56S02N22W23,2018,54145.74,281.0658458339853,298.42720054827515,54145.74,0.9418238194025433,50995.747651177066
56725616055511,Active,No,Traditional,Elementary,Public,Rio Plaza Elementary,Rio Elementary,Ventura,600 Simon Way,Oxnard,CA,No,1,K-5,K-5,56S02N22W24,2018,16250.72,49.74118146954749,490.3839974577771,16250.72,0.10143312532099967,1648.3613183164757
56725616055511,Active,No,Traditional,Elementary,Public,Rio Plaza Elementary,Rio Elementary,Ventura,600 Simon Way,Oxnard,CA,No,1,K-5,K-5,56S02N22W14,2018,60088.6065977,314.3885058239203,383.1681811386052,60088.6065977,0.8204974246287823,49302.54696294491
56725616055511,Active,No,Traditional,Elementary,Public,Rio Plaza Elementary,Rio Elementary,Ventura,600 Simon Way,Oxnard,CA,No,1,K-5,K-5,56S02N22W13,2018,14985.95,29.847016782983463,581.5399871316041,14985.95,0.051324100566499824,769.140404884538
56725616055529,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Rio Real Elementary,Rio Elementary,Ventura,1140 Kenney Street,Oxnard,CA,No,1,K-8,K-8,56S02N22W23,2018,54145.74,247.1059382202426,298.42720054827515,54145.74,0.8280275315596423,44834.163436670184
56725616055529,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Rio Real Elementary,Rio Elementary,Ventura,1140 Kenney Street,Oxnard,CA,No,1,K-8,K-8,56S02N22W24,2018,16250.72,1.394579111357942,490.3839974577771,16250.72,0.0028438511831292324,46.21462929870188
56725616055529,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Rio Real Elementary,Rio Elementary,Ventura,1140 Kenney Street,Oxnard,CA,No,1,K-8,K-8,56S02N22W14,2018,60088.6065977,11.767689942092646,383.1681811386052,60088.6065977,0.030711553102150374,1845.414432359487
