cds_code,school,district,enroll_total,pounds_0.25,pounds_1
44697996049746,Mintie White Elementary,Pajaro Valley Unified,518,,26624.60516359843
50757390108175,Sandra Tovar Medeiros Elementary,Turlock Unified,764,1065.1134049183686,26154.871065166073
56725126055164,Laguna Vista Elementary,Ocean View,402,2171.6590113911925,25780.862858439585
10621580108977,Fowler Academy Community Day (9-12),Fowler Unified,,1294.968806008132,25763.620943947866
10621580126250,Fowler Academy Community Day,Fowler Unified,,1294.968806008132,25763.620943947866
10621586006050,Marshall Elementary,Fowler Unified,446,1294.968806008132,25763.620943947866
24657710112615,Joe Stefani,Merced City Elementary,639,,25464.40291337068
56725460125674,Condor High,Oxnard Union High,486,,25416.72348873887
10623646115224,Parlier Junior High,Parlier Unified,505,,25378.618210184795
50757390114561,Walnut Elementary Education Center,Turlock Unified,856,,25094.671206307008
50105040129023,Stanislaus Alternative Charter,Stanislaus County Office of Education,646,,25009.795977728823
50712660120063,Independence Charter,Salida Union Elementary,30,,25009.795977728823
50712660133660,Mildred Perkins Elementary,Salida Union Elementary,370,,25009.3928286145
56725386055313,Fremont Academy of Environmental Science & Innovative Design,Oxnard,761,,24983.12790753736
10623640107409,S Ben Benavidez Elementary,Parlier Unified,498,940.204601778667,24549.353915838987
44697996049639,Amesti Elementary,Pajaro Valley Unified,486,1128.7053982680475,24447.663707637585
15638346010235,Vineland Elementary,Vineland Elementary,384,2817.9447587151953,24428.03262172576
39685936112197,Joshua Cowell Elementary,Manteca Unified,689,,24281.07393561949
27661426026579,Mission Park Elementary,Salinas City Elementary,592,,24246.665117905097
50710680132662,Denair Elementary Charter Academy,Denair Unified,546,576.0640770722384,23804.00503743649
50710686052500,Denair Elementary,Denair Unified,,576.0640770722384,23804.00503743649
20652436112973,Martin Luther King Jr. Middle,Madera Unified,900,154.522500634302,23606.933421874495
35675796035158,Willow Grove Elementary,Willow Grove Union Elementary,17,,23535.108857001786
56725465631742,Channel Islands High,Oxnard Union High,2923,,23482.74686140744
10624306007280,Indianola Elementary,Selma Unified,356,2636.6631945856416,23329.352763154297
10751271030493,Mendota High,Mendota Unified,1006,7515.897717955306,23146.33776
10751276006977,Mendota Junior High,Mendota Unified,560,7515.897717955306,23146.33776
10739996007371,Sun Empire Elementary,Kerman Unified,546,,22976.53590839411
54722565430012,River Bend,Visalia Unified,,,22935.230766275337
54722565430046,Golden West High,Visalia Unified,2039,,22935.230766275337
54722566092373,Valley Oak Middle,Visalia Unified,908,,22935.230766275337
54722566106249,Golden Oak Elementary,Visalia Unified,649,,22935.230766275337
10625136007405,Washington Colony Elementary,Washington Colony Elementary,464,814.0654275983538,22748.619773261853
42691206046031,Miller (Isaac) Elementary,Santa Maria-Bonita,889,,22703.820267420797
