cds_code,status,charter,ed_type,level,pb_prv_bie,school,district,county,street,city,state,stacked,stack_cnt,grades_offered,grades_served,pounds_chloropicrin_intersection
10622400114587,Active,Yes,Community Day School,Intermediate/Middle/Junior High,Public,Island Community Day,Kingsburg Elementary Charter,Fresno,1776 Sixth Avenue Drive,Kingsburg,CA,No,1,4-8,7,880.9068426244418
15638420138701,Active,No,Traditional,Elementary,Public,James A. Forrest Elementary,Wasco Union Elementary,Kern,401 North Griffith Avenue,Wasco,CA,No,1,K-5,K-5,878.165814678957
39686500128215,Active,No,Continuation School,High School,Public,Harvest High,Ripon Unified,San Joaquin,729 West Main Street,Ripon,CA,No,1,9-12,11-12,874.8546447664372
40688096043277,Active,No,Traditional,Elementary,Public,Bishop's Peak Elementary,San Luis Coastal Unified,San Luis Obispo,451 Jaycee Drive,San Luis Obispo,CA,Yes,2,K-6,K-6,868.2089052254051
40688096043301,Active,No,Traditional,Elementary,Public,Teach Elementary,San Luis Coastal Unified,San Luis Obispo,165 Grand Avenue,San Luis Obispo,CA,Yes,2,4-6,4-6,868.2089052254051
15635780135186,Active,Yes,Traditional,Elementary,Public,Grimmway Academy Shafter,Richland Union Elementary,Kern,471 West Los Angeles Street,Shafter,CA,No,1,K-8,K-6,825.0602833095226
39685856098057,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Victor Elementary,Lodi Unified,San Joaquin,17670 North Bruella Road,Victor,CA,No,1,K-6,K-8,813.578380511845
10624306007322,Active,No,Traditional,Elementary,Public,Terry Elementary,Selma Unified,Fresno,12906 South Fowler Avenue,Selma,CA,No,1,K-6,K-6,801.5478277379848
10622406108328,Active,Yes,Traditional,Intermediate/Middle/Junior High,Public,Rafer Johnson Junior High,Kingsburg Elementary Charter,Fresno,1300 Stroud Avenue,Kingsburg,CA,No,1,7-8,7-8,799.6438920073153
20651776023865,Active,No,Traditional,Elementary,Public,Alview Elementary,Alview-Dairyland Union Elementary,Madera,20513 Road 4,Chowchilla,CA,No,1,K-3,K-3,796.4777147271752
10622400113142,Active,Yes,Traditional,Elementary,Public,Ronald W. Reagan Elementary,Kingsburg Elementary Charter,Fresno,1180 Diane Avenue,Kingsburg,CA,No,1,4-6,4-6,795.8917976209149
54718605433230,Active,No,Traditional,High School,Public,Orosi High,Cutler-Orosi Joint Unified,Tulare,41815 Road 128,Orosi,CA,No,1,9-12,9-12,794.106551354964
10624146007215,Active,No,Traditional,Elementary,Public,Wilson Elementary,Sanger Unified,Fresno,610 Faller Street,Sanger,CA,No,1,P-6,K-6,791.3966600936981
10624146007124,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Fairmont Elementary,Sanger Unified,Fresno,3095 North Greenwood Avenue,Sanger,CA,No,1,K-8,K-8,781.2780401244049
45699894530226,Active,No,Continuation School,High School,Public,Soldier Mountain High (Continuation),Fall River Joint Unified,Shasta,44144 A Street,McArthur,CA,Yes,2,9-12,10-12,779.9378580798569
45699894530234,Active,No,Community Day School,Intermediate/Middle/Junior High - High Combination,Public,Fall River Community Day,Fall River Joint Unified,Shasta,44144 A Street,McArthur,CA,Yes,2,7-12,7-11,779.9378580798569
30664496027478,Active,No,Traditional,Elementary,Public,Olinda Elementary,Brea-Olinda Unified,Orange,3145 East Birch Street,Brea,CA,No,1,K-6,K-6,779.2561728001114
30666476030035,Active,No,Traditional,Elementary,Public,Golden Elementary,Placentia-Yorba Linda Unified,Orange,740 East Golden Avenue,Placentia,CA,Yes,2,K-6,K-6,779.2561728001114
30666476089478,Active,No,Special Education School,Elementary - High Combination,Public,George Key,Placentia-Yorba Linda Unified,Orange,710 East Golden Avenue,Placentia,CA,Yes,2,K-Adult,K-12,779.2561728001114
