cds_code,status,charter,ed_type,level,pb_prv_bie,school,district,county,street,city,state,stacked,stack_cnt,grades_offered,grades_served,pounds_13d_intersection
24658700111294,Active,No,Traditional,Elementary,Public,Winfield Elementary,Winton,Merced,6981 Chestnut Lane,Winton,CA,No,1,K-5,K-5,3470.0196361056014
44697996112841,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Lakeview Middle,Pajaro Valley Unified,Santa Cruz,2350 East Lake Avenue,Watsonville,CA,No,1,6-8,6-8,3457.6366053120614
13101320131094,Active,No,County Community School,Intermediate/Middle/Junior High - High Combination,Public,Valley Academy,Imperial County Office of Education,Imperial,253 East Ross Avenue,El Centro,CA,No,1,K-12,8-12,3431.5203616955496
56725465634548,Active,No,Traditional,High School,Public,Oxnard High,Oxnard Union High,Ventura,3400 West Gonzales Road,Oxnard,CA,No,1,9-12,9-12,3345.9370185849784
10623236006993,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Monroe Elementary,Monroe Elementary,Fresno,11842 South Chestnut Avenue,Fresno,CA,No,1,K-8,K-8,3316.306445799207
33736766032254,Active,No,Traditional,Elementary,Public,Mecca Elementary,Coachella Valley Unified,Riverside,65250 Coahuilla Street,Mecca,CA,No,1,K-6,K-6,3259.038013235344
15634876009534,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,General Shafter Elementary,General Shafter Elementary,Kern,1825 Shafter Road,Bakersfield,CA,No,1,K-8,K-8,3239.5278718994964
50710685030267,Active,Yes,Traditional,Elementary - High Combination,Public,Denair Charter Academy,Denair Unified,Stanislaus,3460 Lester Road,Denair,CA,Yes,3,K-12,K-12,3219.5408536014747
50710685031521,Active,No,Traditional,High School,Public,Denair High,Denair Unified,Stanislaus,3431 Lester Road,Denair,CA,Yes,3,9-12,9-12,3219.5408536014747
50710686071575,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Denair Middle,Denair Unified,Stanislaus,3701 Lester Road,Denair,CA,Yes,3,6-8,6-8,3219.5408536014747
